report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
writeup_no,photo_no,examiner,transect_no,slope,aspect,elevation_min,elevation_max,forest,ranger_district,allotment,location,livestock,type_designation,type_des_trend,date,total_grass,total_forb,total_browse,desirable,intermediate,least_desirable,composition,production,forage_condition,ground_cover,erosion,soil_condition,browse_condition,trend,notes
A-13,ESH-3-195,D. Aslett,"1-3,2-3,3-3",43,s-w-w,6800,7000,Sawtooth,D-5,Blue Ridge,East and west of Sprout creek.,Sheep,S5 55/55,stable/stable,7/6/1968,189,36,253,58,23,19,36,19,55,17,38,55,good,stable,add whatever comments you find necessary here
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
report_summary_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,total,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overstory_trees,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overstory_shrub,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crown_cover_herb,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bare_ground,144,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock_pav_natural,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock_pav_unnatural,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veg_litter,154,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil_disturbance,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_droppings,NULL,NULL,,`,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_pellet_groups,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
report_biomass_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  species,  trans1,  trans2,  trans3,  total,  dry_weight ,  prod_dry_weight,  composition,  desirability_D,  desirability_I,  desirability_L,,,,,,,,,,,,,,,,,,,,
AGSPI,49,75,45,169,592,164,34,30,4,NULL,,,,,,,,,,,,,,,,,,,,
BRTE,3,NULL,0,30,12,4,1,NULL,NULL,1,,,,,,,,,,,,,,,,,,,,
…continue until…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEUE,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: rows can be added or deleted here as necessary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 surface_texture,  surf_text_thick,  surf_text_ph,  subsoil_texture,  sub_text_thick,  sub_text_ph,  substratum_mat,  eff_root_depth,  general_remarks,  avg_surface_loss,  loss_over_area,  gullies_length,  gullies_depth,  erosion_remarks,  detachability,  rock_coverage,  adj_detachability,  permeability,  erod_index,  erod_index_class,  slope,  eros_haz_class,  compaction,  displacement,  cover_dispersion,  potential_product,  suit_reasons,,,,
Gravely Sandy loom,10,6.0,Gravely loom,10,6.0,Granitic,NULL,soil is fairly stable,1.5,0.5,NULL,NULL,no marked erosion,6,5,5.7,5,28.5,NULL,45,NULL,none,moderate,Fairly Uniform,800,slope and forage are suitable for sheep grazing,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  transect_no,  location,  elevation,  slope,  type_designation,  aspect,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mountain Brush type west of Sprout Creek,6800,45,S5,S,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  transect_no,  location,  elevation,  slope,  type_designation,  aspect,,,,,,,,,,,,,,,,,,,,,,,,,
2,East of Sprout Creek near source,6900,45,S5,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  transect_no,  location,  elevation,  slope,  type_designation,  aspect,,,,,,,,,,,,,,,,,,,,,,,,,
3,West of Sprout Creek,7000,35,5,W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_1_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,AGSPI,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,BRTE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,ELCI,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,BASA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,ANNUAL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,PHACE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,SYMPTH,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,ARTR,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,PRUI,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_2_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,AGSPI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,BRTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,ELCI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,BASA,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,ANNUAL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,PHACE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,SYMPTH,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,ARTR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,PRUI,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_3_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
…continue for all 10 plots…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_4_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_5_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_6_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_7_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_8_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_9_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_plot_10_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_1_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,AGSPI,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,ELCI,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,BRMA,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,ANNUAL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,BASA,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,SYMPH,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,PRUI,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,CHUIL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,ARTR,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_2_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
…continue for all 10 plots of transect 2…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_3_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_4_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_5_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_6_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_7_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_8_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_9_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_plot_10_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_1_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,AGSPI,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,BRTE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass,BRMA,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,ANNUAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,BASA,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forb,PHACE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,ARTR,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,CHUIL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,CEUE,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse,PRUF,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_2_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
…continue process for all plots of transect 3…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_3_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_4_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_5_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_6_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_7_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_8_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_9_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_plot_10_biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,species,green_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_1_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,plot_1_value,plot_2_value,plot_3_value,plot_4_value,plot_5_value,plot_6_value,plot_7_value,plot_8_value,plot_9_value,plot_10_value,,,,,,,,,,,,,,,,,,,,
overstory_trees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
overstory_shrub,5,5,5,3,10,5,5,NULL,NULL,5,,,,,,,,,,,,,,,,,,,,
overstory_herb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
bare_ground,90,40,60,70,10,80,90,10,15,10,,,,,,,,,,,,,,,,,,,,
rock_pav_natural,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
rock_pav_unnatural,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,,,,,,,,,,,,,,,,,,,,
veg_litter,10,60,40,30,90,20,10,80,85,90,,,,,,,,,,,,,,,,,,,,
soil_disturbance,NULL,NULL,NULL,10,NULL,NULL,5,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
droppings,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
pellet_groups,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_2_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,plot_1_value,plot_2_value,plot_3_value,plot_4_value,plot_5_value,plot_6_value,plot_7_value,plot_8_value,plot_9_value,plot_10_value,,,,,,,,,,,,,,,,,,,,
overstory_trees,…continue process but for transect 2…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overstory_shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overstory_herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bare_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock_pav_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock_pav_unnatural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veg_litter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil_disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
droppings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pellet_groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transect_3_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,plot_1_value,plot_2_value,plot_3_value,plot_4_value,plot_5_value,plot_6_value,plot_7_value,plot_8_value,plot_9_value,plot_10_value,,,,,,,,,,,,,,,,,,,,
overstory_trees,…continue process but for transect 2…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overstory_shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overstory_herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bare_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock_pav_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock_pav_unnatural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veg_litter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil_disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
droppings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pellet_groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
